Category String,Code,Description,Usage,Specifications,Category String2,Category Name - 1,Category Name - 2,Category Name - 3,Category Name - 4,Category Name - 5,Category Name - 6,Category Name - 7,Category Name - 8,Category Name - 9,Featured Image,Product Image File - 1,Product Image URL - 1,Product Image File - 2,Product Image URL - 2,Product Image File - 3,Product Image URL - 3,Product Image File - 4,Product Image URL - 4,Product Image File - 5,Product Image URL - 5,Product Image File - 6,Product Image URL - 6,Product Image File - 7,Product Image URL - 7,Product Image File - 8,Product Image URL - 8,Product Image File - 9,Product Image URL - 9,Product Image File - 10,Product Image URL - 10,Title
Anaconda,A-AHA7," <p>Angled free standing card holder. 3mm clear acrylic. Available in A3, A4, A6, A7, DL. Ideal for counter top display.</p>",,,Anaconda/Acrylic Display ,Acrylic Display ,,,,,,,,,http://www.sjdg.com.au/product_images/z/561/A-AH.line__56082.jpg,A-AHA-product__04391.jpg,http://www.sjdg.com.au/product_images/h/138/A-AHA-product__04391.jpg,A-AH-usage1__82295.jpg,http://www.sjdg.com.au/product_images/z/133/A-AH-usage1__82295.jpg,A-AH.line__56082.jpg,http://www.sjdg.com.au/product_images/z/561/A-AH.line__56082.jpg,,,,,,,,,,,,,,,Angled Card Holder A7
Anaconda,A-AHA6," <p>Angled free standing card holder. 3mm clear acrylic. Available in A3, A4, A6, A7, DL. Ideal for counter top display.</p>",,,Anaconda/Acrylic Display ,Acrylic Display ,,,,,,,,,http://www.sjdg.com.au/product_images/z/561/A-AH.line__56082.jpg,A-AHA-product__04391.jpg,http://www.sjdg.com.au/product_images/h/138/A-AHA-product__04391.jpg,A-AH-usage1__82295.jpg,http://www.sjdg.com.au/product_images/z/133/A-AH-usage1__82295.jpg,A-AH.line__56082.jpg,http://www.sjdg.com.au/product_images/z/561/A-AH.line__56082.jpg,,,,,,,,,,,,,,,Angled Card Holder A6
Anaconda,A-AHA4," <p>Angled free standing card holder. 3mm clear acrylic. Available in A3, A4, A6, A7, DL. Ideal for counter top display.</p>",,,Anaconda/Acrylic Display ,Acrylic Display ,,,,,,,,,http://www.sjdg.com.au/product_images/z/561/A-AH.line__56082.jpg,A-AHA-product__04391.jpg,http://www.sjdg.com.au/product_images/h/138/A-AHA-product__04391.jpg,A-AH-usage1__82295.jpg,http://www.sjdg.com.au/product_images/z/133/A-AH-usage1__82295.jpg,A-AH.line__56082.jpg,http://www.sjdg.com.au/product_images/z/561/A-AH.line__56082.jpg,,,,,,,,,,,,,,,Angled Card Holder A4
Anaconda,A-AHA3," <p>Angled free standing card holder. 3mm clear acrylic. Available in A3, A4, A6, A7, DL. Ideal for counter top display.</p>",,,Anaconda/Acrylic Display ,Acrylic Display ,,,,,,,,,http://www.sjdg.com.au/product_images/z/561/A-AH.line__56082.jpg,A-AHA-product__04391.jpg,http://www.sjdg.com.au/product_images/h/138/A-AHA-product__04391.jpg,A-AH-usage1__82295.jpg,http://www.sjdg.com.au/product_images/z/133/A-AH-usage1__82295.jpg,A-AH.line__56082.jpg,http://www.sjdg.com.au/product_images/z/561/A-AH.line__56082.jpg,,,,,,,,,,,,,,,Angled Card Holder A3
Anaconda,A-CHA, <p>Small sign holder to hold a sign with up to 3mm thickness.</p>,,,Anaconda/Acrylic Display ;Anaconda/Display Accessories,Acrylic Display ,Display Accessories,,,,,,,,http://www.sjdg.com.au/product_images/f/458/A-CHA.line__42390.jpg,A-CHA-product__04803.jpg,http://www.sjdg.com.au/product_images/m/980/A-CHA-product__04803.jpg,A-CHA.line__42390.jpg,http://www.sjdg.com.au/product_images/f/458/A-CHA.line__42390.jpg,,,,,,,,,,,,,,,,,Card Holder 3mm Acrylic 
Anaconda,A-GCS," <p class=""p1"">3mm clear acrylic.freestanding. 120mm wide x 420mm high. 50mm x 120mm header panel. Complete with 2 x 75mm plastic hanging hooks.</p>",,,Anaconda/Acrylic Display ,Acrylic Display ,,,,,,,,,http://www.sjdg.com.au/product_images/s/699/A-GCS__81634.jpg,A-GCS__81634.jpg,http://www.sjdg.com.au/product_images/s/699/A-GCS__81634.jpg,,,,,,,,,,,,,,,,,,,Acrylic Gift Card Std 2 Prong
Anaconda,A-SSS25010040, <p>3mm clear acrylic with ticket holder strip suitable for labels to 40mm wide.</p>,,,Anaconda/Acrylic Display ,Acrylic Display ,,,,,,,,,http://www.sjdg.com.au/product_images/i/337/A-SSS25010040-usage__80806.jpg,A-SSS25010040-product__88342.jpg,http://www.sjdg.com.au/product_images/z/977/A-SSS25010040-product__88342.jpg,A-SSS25010040-usage__80806.jpg,http://www.sjdg.com.au/product_images/i/337/A-SSS25010040-usage__80806.jpg,,,,,,,,,,,,,,,,,Slatwall Shoe Shelf 250x100mm
Anaconda,B-BC, <p>Clear acrylic. Holds business cards up to 93mm wide.</p>,,,Anaconda/Brochure Holders ,Brochure Holders ,,,,,,,,,http://www.sjdg.com.au/product_images/h/784/B-BC-product__12368.jpg,B-BC-usage1__53144.jpg,http://www.sjdg.com.au/product_images/a/608/B-BC-usage1__53144.jpg,B-BC-product__12368.jpg,http://www.sjdg.com.au/product_images/h/784/B-BC-product__12368.jpg,,,,,,,,,,,,,,,,,Business Card Holder
Anaconda,B-EWSA, <p>Converts Expanda brochure holders for use in slatwall.</p>,,,Anaconda/Brochure Holders ,Brochure Holders ,,,,,,,,,http://www.sjdg.com.au/product_images/m/496/B-EWSA-product__11033.jpg,B-EWSA-usage2__87638.jpg,http://www.sjdg.com.au/product_images/q/886/B-EWSA-usage2__87638.jpg,B-EWSA-usage3__91949.jpg,http://www.sjdg.com.au/product_images/j/793/B-EWSA-usage3__91949.jpg,B-EWSA-product__11033.jpg,http://www.sjdg.com.au/product_images/m/496/B-EWSA-product__11033.jpg,,,,,,,,,,,,,,,Expanda Wire Slatwall Adaptor
Anaconda,B-FSA4, <p>3mm clear acrylic. Free standing to hold A4 brochures up to 225mm wide.</p>,,,Anaconda/Brochure Holders ,Brochure Holders ,,,,,,,,,http://www.sjdg.com.au/product_images/b/150/B-FSA5.line__51750.jpg,B-FSA5-product__48750.jpg,http://www.sjdg.com.au/product_images/g/616/B-FSA5-product__48750.jpg,B-FSA4-usage1__54716.jpg,http://www.sjdg.com.au/product_images/l/179/B-FSA4-usage1__54716.jpg,B-FSA5.line__51750.jpg,http://www.sjdg.com.au/product_images/b/150/B-FSA5.line__51750.jpg,,,,,,,,,,,,,,,Brochure Holder F/S A4
